ID;Математика;Информатика;Русский;Физика;Сумма баллов;Бюджет/платное;Укажите средний балл аттестата о среднем полном общем образовании (за 11 класс).;Оценка по математике:;Оценка по информатике:;Оценка по физике:;Населенный пункт;Школа;Принимали ли Вы участие в олимпиадах по математике или информатике за период с 8 класса по настоящее время?;Количество олимпиад;Количество олимпиад математика;Количество олимпиадинформатика;Количество олимпиадфизика;Если принимали, то укажите информацию об этих олимпиадах:;Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / обучение в общеобразовательной школе;Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / обучение в физико-математической школе;Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / обучение в математическом классе (физико-математическом классе);Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / обучение в ЗЕНШ СФУ (НГУ, ТГУ и т.д.);Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / занятия в математическом кружке;Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / обучение на дополнительных курсах по подготовке к ЕГЭ;Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / занятия с репетитором;В какие вузы (не более трёх) Вы планировали поступать?;Какие направления были приоритетными при поступлении в вуз?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1378381704;68;62;74;;204;бюджет;4,8;5;5;5;Кемеровская, обл, г. Киселевск;;Нет;0;0;0;0;;обучение в общеобразовательной школе;;;;;;занятия с репетитором;"КемГУ_x000D_
СФУКемГУ_x000D_
СФУКемГУ_x000D_
СФУКемГУ_x000D_
СФУКемГУ_x000D_
СФУКемГУ_x000D_
СФУКемГУ_x000D_
СФУКемГУ_x000D_
СФУ";Прикладная математика и информатика, педагогическое;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1377069375;70;68;78;;216;бюджет;5;5;5;5;Красноярский, край, г. Красноярск;;Нет;0;0;0;0;;обучение в общеобразовательной школе;;обучение в математическом классе (физико-математическом классе);;;;занятия с репетитором;СибГУ, СФУ;Прикладная математика и информатика,  прикладная информатика, программная инженерия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1377067615;82;55;74;;211;бюджет;5;5;5;5;Красноярский, край, г. Красноярск;;Нет;0;0;0;0;;;;обучение в математическом классе (физико-математическом классе);;;;занятия с репетитором;ЛЭТИ, Политех в Санкт-Петербурге;Прикладная математика, Прикладная информатика, Прикладная математика и информатика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1386808393;70;68;76;;214;бюджет;4,8;5;5;5;Иркутская, обл, д. Тимирязева;;Да;2;2;0;0;Доходила до районного уровня.;обучение в общеобразовательной школе;;;;;;;Подавала документы только в СФУ;Не помню, было без разницы на момент поступления.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1386806225;74;84;78;;236;бюджет;4.8;5;5;5;Забайкальский, край, г. Чита;;Нет;0;0;0;0;;обучение в общеобразовательной школе;;обучение в математическом классе (физико-математическом классе);;;;;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1378630693;86;79;62;;227;бюджет;4.1;4;5;4;Иркутская, обл, г. Нижнеудинск;;Нет;0;0;0;0;;;;обучение в математическом классе (физико-математическом классе);;;;;СФУ;"Информационная безопасность _x000D_
Математика и компьютерные наукиИнформационная безопасность _x000D_
Математика и компьютерные наукиИнформационная безопасность _x000D_
Математика и компьютерные наукиИнформационная безопасность _x000D_
Математика и компьютерные наукиИнформационная безопасность _x000D_
Математика и компьютерные наукиИнформационная безопасность _x000D_
Математика и компьютерные наукиИнформационная безопасность _x000D_
Математика и компьютерные наукиИнформационная безопасность _x000D_
Математика и компьютерные наукиИнформационная безопасность _x000D_
Математика и компьютерные науки";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1390917214;94;91;78;;263;бюджет;4.4;4;5;4;Красноярский, край, г. Красноярск;;Да;25;5;8;12;"Участник Муниципального этапа ВСОШ по физике в 9,10 классе, призёр в 11 классе. Участник регионального этапа ВСОШ по физике в 10, 11 классе. _x000D_
Победитель олимпиады физтех по физике, всероссийский._x000D_
_x000D_
Участник Муниципального этапа ВСОШ по математике в 9, 10 классе. _x000D_
Призёр олимпиады физтех по математике, всероссийский._x000D_
_x000D_
Участник Муниципального и регионального этапов ВСОШ по информатике в 11 классе._x000D_
Участник первенства ИКИТ, информатика, всероссийский._x000D_
Призёр первого этапа ВКОШП, информатика, всероссийский.Участник Муниципального этапа ВСОШ по физике в 9,10 классе, призёр в 11 классе. Участник регионального этапа ВСОШ по физике в 10, 11 классе. _x000D_
Победитель олимпиады физтех по физике, всероссийский._x000D_
_x000D_
Участник Муниципального этапа ВСОШ по математике в 9, 10 классе. _x000D_
Призёр олимпиады физтех по математике, всероссийский._x000D_
_x000D_
Участник Муниципального и регионального этапов ВСОШ по информатике в 11 классе._x000D_
Участник первенства ИКИТ, информатика, всероссийский._x000D_
Призёр первого этапа ВКОШП, информатика, всероссийский.Участник Муниципального этапа ВСОШ по физике в 9,10 классе, призёр в 11 классе. Участник регионального этапа ВСОШ по физике в 10, 11 классе. _x000D_
Победитель олимпиады физтех по физике, всероссийский._x000D_
_x000D_
Участник Муниципального этапа ВСОШ по математике в 9, 10 классе. _x000D_
Призёр олимпиады физтех по математике, всероссийский._x000D_
_x000D_
Участник Муниципального и регионального этапов ВСОШ по информатике в 11 классе._x000D_
Участник первенства ИКИТ, информатика, всероссийский._x000D_
Призёр первого этапа ВКОШП, информатика, всероссийский.Участник Муниципального этапа ВСОШ по физике в 9,10 классе, призёр в 11 классе. Участник регионального этапа ВСОШ по физике в 10, 11 классе. _x000D_
Победитель олимпиады физтех по физике, всероссийский._x000D_
_x000D_
Участник Муниципального этапа ВСОШ по математике в 9, 10 классе. _x000D_
Призёр олимпиады физтех по математике, всероссийский._x000D_
_x000D_
Участник Муниципального и регионального этапов ВСОШ по информатике в 11 классе._x000D_
Участник первенства ИКИТ, информатика, всероссийский._x000D_
Призёр первого этапа ВКОШП, информатика, всероссийский.Участник Муниципального этапа ВСОШ по физике в 9,10 классе, призёр в 11 классе. Участник регионального этапа ВСОШ по физике в 10, 11 классе. _x000D_
Победитель олимпиады физтех по физике, всероссийский._x000D_
_x000D_
Участник Муниципального этапа ВСОШ по математике в 9, 10 классе. _x000D_
Призёр олимпиады физтех по математике, всероссийский._x000D_
_x000D_
Участник Муниципального и регионального этапов ВСОШ по информатике в 11 классе._x000D_
Участник первенства ИКИТ, информатика, всероссийский._x000D_
Призёр первого этапа ВКОШП, информатика, всероссийский.Участник Муниципального этапа ВСОШ по физике в 9,10 классе, призёр в 11 классе. Участник регионального этапа ВСОШ по физике в 10, 11 классе. _x000D_
Победитель олимпиады физтех по физике, всероссийский._x000D_
_x000D_
Участник Муниципального этапа ВСОШ по математике в 9, 10 классе. _x000D_
Призёр олимпиады физтех по математике, всероссийский._x000D_
_x000D_
Участник Муниципального и регионального этапов ВСОШ по информатике в 11 классе._x000D_
Участник первенства ИКИТ, информатика, всероссийский._x000D_
Призёр первого этапа ВКОШП, информатика, всероссийский.";обучение в общеобразовательной школе;;;обучение в ЗЕНШ СФУ (НГУ, ТГУ и т.д.);занятия в математическом кружке;;;СФУ;Математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1390908548;70;51;73;;194;бюджет;4,5;70;51;44;Иркутская, обл,г. Вихоревка;;Нет;0;0;0;0;;обучение в общеобразовательной школе;;;;;;;СФУ;"Математика_x000D_
Прикладная математика и информатикаМатематика_x000D_
Прикладная математика и информатикаМатематика_x000D_
Прикладная математика и информатикаМатематика_x000D_
Прикладная математика и информатикаМатематика_x000D_
Прикладная математика и информатика";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1388075328;68;64;68;;200;бюджет;4,3;4;5;4;Красноярский, край, г. Железногорск;;Да;1;1;0;0;Я точно помню что я участвовал, но сейчас точно вспомнить не могу. Настолько это было давно.;обучение в общеобразовательной школе;;;;занятия в математическом кружке;обучение на дополнительных курсах по подготовке к ЕГЭ;;СФУ, СибГУ, ТГУ (Томск);Математика и компьютерные науки, информационные системы и технологии,  прикладная информатика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1376775754;45;64;69;;178;платное;4;4;5;3;Красноярский, край, г. Красноярск;;Нет;0;0;0;0;;обучение в общеобразовательной школе;;;;;;;Никакие;Математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1376774925;68;64;72;;204;бюджет;4,9;5;5;5;Республика Бурятия, г. Улан-Удэ;;Да;7;3;4;0;"Международный проект ""VIDEOUROKI"" математика победитель, Мир-олимпиад 1 всероссийская информатика призер, Зима - 2018 международная дистанционная информатика победитель, Большая школьная олимпиада международная информатика победитель, Мир-Олимпиад 3 Всероссийская информатика победитель, олимпиада по математике 10 класс международный проект математика призёр, Белый ветер всероссийская математика призер.";обучение в общеобразовательной школе;;;;;обучение на дополнительных курсах по подготовке к ЕГЭ;занятия с репетитором;ТГУ, СФУ, ИГУ;Информационная безопасность, математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1387054457;45;51;67;;163;платное;4.4;4;5;4;Красноярский, край, г. Красноярск;;Нет;0;0;0;0;;обучение в общеобразовательной школе;;;;;;;"Имифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГаоИмифи_x000D_
ИКИТ_x000D_
СИбГао";Программирование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
